DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
TEXANS CAN ACADEMIES,057804,057 DALLAS,10,D,13,5071,28,59.8,7.4,1,0.4,0.1,3.3,83.8,16.8,8.7,16.5,20,0,90.5,13.5,44.1,66.9,71,1746,564,56,17,3,37,13,0,.,.,.,71,22,7,75,16,2,83,25,6,50,13,1,59,19,3,62,22,5,68,39,11,53,27,13,-1,-1,-1,59,18,1,57,18,3,13,2.6,843,14.3,557.3,240.1,3.1,6.5,25.5,43.1,0,21.7,100296,77580,51234,51124,78.5,9.1,21.1,60.2,5.1,25.4,37.3,48.8,21.8,25.3,4.1,77.8,15.5,0,0,6.6,0,0,0,62077188,10686,62077188,80.5,5.7,13.8,0,0,27027529,58194802,57818236,9953,35,14.3,11,16.6,23,20251593,3486,28.9,12.7,17.4,3.2,2.4,0,0.1,2.1,0,33.1,"5,000 to 9,999",Charters,Non-taxing entities,Non-taxing entities
LUMIN EDUCATION,057805,057 DALLAS,10,F,1,296,5.1,69.3,18.9,1.4,1,0,4.4,64.5,37.8,11.5,37.5,0,0,94.1,.,.,.,.,.,.,64,38,12,64,39,18,.,.,.,64,36,6,.,.,.,.,.,.,-1,-1,-1,58,32,4,75,50,33,.,.,.,.,.,.,.,.,.,.,.,.,50,25,9,.,.,.,.,49.4,18.5,0.9,6.1,24.5,37.4,22.1,9,93304,60860,59857,45830,65.1,6,16,39.2,10.7,32.5,7.7,16.2,27.1,40.5,16.2,76.8,5.4,17.8,0,0,0,0,0,3697775,11814,3697775,53.5,39.6,6.8,0,0,372733,3347762,3347762,10696,47.6,16.5,6.9,9.5,19.5,1593142,5090,27.2,11.5,16.5,5,0,0,0,0,0,39.8,Under 500,Charters,Non-taxing entities,Non-taxing entities
ADVANTAGE ACADEMY,057806,057 DALLAS,10,C,1,1689,26.3,56.1,14,0.1,1.6,0.1,1.8,77,24.7,6,16.8,27.1,2.2,95.4,0.6,80.6,96.6,100,31,29,59,26,11,61,30,11,44,14,5,60,25,11,64,29,10,59,30,13,56,24,10,59,26,9,64,31,16,.,.,.,85,71,44,-1,-1,-1,62,24,19,56,23,9,41.9,15.4,911,.,177,88.7,0.6,9,15.8,50.1,5.1,19.4,140000,70944,54807,47742,53.5,9.5,19,61,6.3,34.4,50.9,38.2,6.7,55.1,0,84.3,7.2,3.2,0,5.3,0,0,0,16315101,9793,16315101,88.2,2.2,9.6,0,0,351864,15533807,14289882,8577,47.4,9.3,8.3,19.3,15.7,6776282,4067,37.9,5.2,19.1,1.2,2.6,0.1,0.6,0,0,33.3,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
LIFE SCHOOL,057807,057 DALLAS,10,B,7,5703,45.2,38.3,12.9,0.2,0.4,0,3,63.1,9,9.4,8.7,24.8,4.5,96.8,0.0,100,99.6,98.4,310,293,70,37,13,72,40,14,57,25,8,70,33,13,75,44,14,69,38,18,66,32,10,69,36,12,87,57,26,79,37,26,97,77,32,-1,-1,-1,74,41,19,65,32,10,70.6,17.8,959,17.8,613.3,347.4,1.6,3.3,15.1,56.6,11.5,11.9,141948,72812,61519,48310,40.2,9.3,16.4,57.5,6.7,24.2,31.6,22.3,13,60.5,4.3,81.3,7,0.3,2,4.8,4.6,0,0,58980834,10417,58980834,87.6,3.5,8.9,0,0,1215907,56249242,52392361,9253,51.2,10.4,5.5,15.9,16.9,26836524,4740,43.2,9.1,7.8,0.3,3.1,0.3,3.7,1.8,0,30.8,"5,000 to 9,999",Charters,Non-taxing entities,Non-taxing entities
UNIVERSAL ACADEMY,057808,057 DALLAS,10,A,2,2058,16.5,25.3,1.2,0.5,55.4,0,1.1,31.5,31.9,2.5,30.8,4.4,9.8,96.6,0.0,92.3,100,100,13,12,87,65,39,88,66,39,86,63,26,89,68,46,84,61,32,82,59,31,78,49,20,82,50,21,98,83,54,95,81,62,95,82,59,.,.,.,74,33,7,82,51,22,100,35.7,992,-1,204.6,141.6,2.4,6.1,6.9,69.2,5.7,9.7,137400,60657,51049,52528,64.7,10.1,14.5,88.8,3.1,12.6,38.5,35.8,9.7,41,13.4,85,2.8,0,3.6,0,8.5,0,0,20307646,9402,20307646,84.3,10.3,5.5,0,0,375599,19341242,17180005,7954,52.7,10.3,3.6,16.6,16.9,9045786,4188,56.5,3.5,2.1,2.1,0.1,0.4,1.2,0.1,2.1,32,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
NOVA ACADEMY,057809,057 DALLAS,10,D,1,135,62.2,34.8,1.5,0,0,0,1.5,91.9,21.5,3,19.3,0,0,95.8,.,.,.,.,.,.,64,24,12,73,27,15,57,29,0,58,19,12,.,.,.,.,.,.,52,17,0,74,29,21,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,65,25,13,.,.,.,.,17.4,8,0,11.5,17.3,46,13.7,11.5,.,62957,39261,46770,88.5,7.8,16.9,38.1,8.2,24.8,49.9,75.2,0,12.4,12.4,100,0,0,0,0,0,0,0,1742431,9574,1742431,87.2,0.4,12.4,0,0,428224,1572713,1567168,8611,47.4,14.3,8.9,14.1,15.3,743533,4085,38.1,0.8,14.5,3.4,0,0,0,0,3.5,39.7,Under 500,Charters,Non-taxing entities,Non-taxing entities
ACADEMY OF DALLAS,057810,057 DALLAS,10,C,1,487,76,23.6,0.2,0,0,0,0.2,100,12.1,9,11.5,0,0,94.5,.,.,.,.,.,.,67,34,11,68,39,15,64,18,4,71,38,14,56,21,2,66,26,6,65,32,12,70,35,11,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,67,34,11,.,.,.,.,56.3,27.1,1.8,3.5,13.1,48.1,10.6,22.9,80000,60500,44292,44144,96.5,8.6,18,92.6,1.4,0,59.5,100,0,0,0,91.7,8.3,0,0,0,0,0,0,4440054,10278,4440054,83.3,0,16.7,0,0,7277,4675705,4675705,10823,48.9,14.1,12.3,14.1,10.6,2288148,5297,38.5,9.1,9,0,0,0,0.5,0,6.2,36.8,Under 500,Charters,Non-taxing entities,Non-taxing entities
TRINITY BASIN PREPARATORY,057813,057 DALLAS,10,B,2,3496,6.7,90.7,1.1,0.1,1.1,0,0.3,90.1,60.6,7.9,59.9,0,0,95.9,.,.,.,.,.,.,78,43,19,75,39,18,68,35,10,83,49,22,79,46,19,77,37,22,61,26,12,79,44,19,78,19,6,100,38,0,79,32,11,.,.,.,89,33,22,77,42,18,.,.,.,.,418.2,207.9,1.9,3.3,10.7,49.7,16.9,17.5,118063,73661,62402,53165,48.9,8.4,16.8,68,5.4,10.4,24.7,13.3,8.8,74.1,3.8,89.7,7.4,0,2.9,0,0,0,0,30754444,9760,30754444,88.2,0.7,11.1,0,0,450958,26442144,25196619,7996,58.5,14.7,5.1,10.3,11.4,14739587,4678,58,8.1,4.7,0.9,0,0,0,0,0.1,28.1,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
ACADEMY FOR ACADEMIC EXCELLENCE,057814,057 DALLAS,10,Not Rated,5,505,44.4,47.3,7.1,0.8,0.2,0,0.2,100,20.2,20,18.8,10.3,0,81,41.4,0,0,0,.,.,18,5,1,21,8,3,-1,-1,-1,11,2,0,22,0,0,25,13,0,17,2,0,21,7,2,0,0,0,.,.,.,.,.,.,-1,-1,-1,.,.,.,19,5,1,.,.,.,.,93.6,55,2.1,6.4,5.4,58.7,11.8,15.6,105783,89526,90083,80859,81.8,5.4,9.2,12.7,14.2,36.4,8.8,65.4,9.1,18.2,7.3,85.2,11.7,0,1.8,1.3,0,0,0,8053884,15459,8053884,85.2,0.5,14.4,0,0,-1402867,7895106,7895106,15154,67.5,9,11.5,2.1,9.8,5329936,10230,59.4,12.6,18.2,0.9,0.7,0,0,0.8,0,7.5,500 to 999,Charters,Non-taxing entities,Non-taxing entities
A W BROWN LEADERSHIP ACADEMY,057816,057 DALLAS,10,C,2,2084,93.6,4.3,0.3,0.2,0,0.1,1.4,63.2,0.5,4.8,0.5,0,0,96.1,.,.,.,.,.,.,66,31,13,68,32,13,67,37,9,68,30,13,65,34,14,33,10,4,66,32,12,67,23,10,.,.,.,100,20,0,.,.,.,100,60,20,78,40,20,66,30,11,.,.,.,.,218.4,115.6,3.2,1.4,11.4,52.9,15.5,15.6,92143,80032,50071,52531,98.2,9.5,18,46.6,8.9,30.2,31.6,98.3,0.9,0.9,0,91.4,8.6,0,0,0,0,0,0,19070720,8895,19070720,87.4,1.3,11.3,0,0,871321,19049164,17945731,8370,63.5,11,6,10.2,9.3,11389710,5312,63.5,5.7,12.6,0.1,0,0,0.8,0,1.3,16,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
JEAN MASSIEU ACADEMY,057819,057 DALLAS,10,B,1,195,18.5,74.4,4.6,0,0.5,0,2.1,95.9,65.6,7.7,65.6,9.2,0,96.5,0.0,.,-1,100,.,.,77,34,13,78,40,14,80,25,5,77,30,11,73,28,10,77,54,38,79,41,21,77,33,12,70,40,20,.,.,.,.,.,.,.,.,.,80,0,0,76,34,13,.,.,.,.,26.3,16.3,3.8,3.8,0,62,11.4,19,93000,69300,.,49609,46.2,7.4,12,93.9,2.0,19.3,11.7,12.3,13.2,68.4,6.1,98.6,0,0,0,1.4,0,0,0,2243776,11448,2220425,83.2,1.9,14.9,23351,0,1114526,2152229,2119502,10814,50.4,12.9,6.7,13.3,16.6,1069037,5454,2.5,11.5,31.3,6.7,3,0,0,1.2,5,38.9,Under 500,Charters,Non-taxing entities,Non-taxing entities
NOVA ACADEMY SOUTHEAST,057827,057 DALLAS,10,B,2,616,39.6,57,2.6,0,0,0,0.8,88.8,33.8,3.6,33,13.1,0,96.8,.,.,.,.,.,.,73,36,14,72,39,16,67,28,12,78,40,15,63,30,10,75,31,15,62,25,9,78,42,17,67,38,21,.,.,.,.,.,.,.,.,.,.,.,.,71,34,14,.,.,.,.,67.8,34.6,1.5,4.4,19.2,51.1,12.8,11,224944,48602,48136,48835,93,9.1,17.8,40.8,9.1,31.3,48.2,89.3,0,8.6,2.2,93.5,5.7,0,0,0.8,0,0,0,5904527,10874,5904527,86.6,0.4,13,0,0,1474159,6045810,5667924,10438,47.2,12,9,18.9,12.9,2675739,4928,33.3,4.5,18.8,2.5,0,0,0,0,1.9,38.9,500 to 999,Charters,Non-taxing entities,Non-taxing entities
WINFREE ACADEMY CHARTER SCHOOLS,057828,057 DALLAS,10,C,6,1314,24.5,41.9,26.7,0.7,1.6,0.4,4.2,54.2,12.7,11.1,11.8,90.8,0,78.6,9.3,37.1,46.5,46.3,351,87,55,23,5,40,20,2,.,.,.,42,11,4,69,23,3,81,35,12,50,17,3,52,21,4,66,37,10,64,36,9,50,30,10,-1,-1,-1,56,14,3,52,19,4,9.1,21.9,1009,18.1,120,55.1,5.8,5.1,19,45.9,4.3,19.8,102404,73573,51974,48035,46,10.9,23.8,57.1,7.5,24.8,33.7,21.3,12.6,56.8,9.3,66.2,13.3,0,7.3,13.3,0,0,0,10404581,8034,10404581,94.9,0.2,5,0,0,155878,10251159,9576229,7395,48.6,10.7,11.8,10,18.9,4652624,3593,48,10,12.8,0.3,6.4,0,0.2,2.7,0,19.7,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
A+ ACADEMY,057829,057 DALLAS,10,C,2,1409,3.8,90.6,4.3,0.1,0.5,0,0.7,90.1,49.8,9.4,49,30.1,2.3,96.7,0.3,100,98.6,97.2,70,67,66,35,10,62,32,7,44,19,3,73,41,15,68,31,5,80,49,22,68,34,13,66,35,10,60,29,9,.,.,.,83,50,50,.,.,.,80,47,13,67,35,10,85.7,13.3,927,-1,181.4,86.6,2.5,4.1,10.2,47.7,11.6,23.9,109554,76840,58332,52290,55.1,7.8,16.3,62.2,7.3,42.8,31.3,21.8,21.7,50.8,5.8,57.7,12.1,3,18.4,5.2,3.6,0,0,14636743,10858,14636743,87.1,1.7,11.2,0,0,2881713,14417154,13157732,9761,51.6,8.4,7,16.6,16.4,6787473,5035,35.7,6.9,11.6,5.3,2.9,0.4,2,1.7,0,33.6,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
INSPIRED VISION ACADEMY,057830,057 DALLAS,10,C,2,1353,8.4,89.6,1.3,0.1,0,0.1,0.6,93.9,42.7,8.9,41.8,25.4,3.1,96.4,1.3,97,.,.,99,99,70,30,8,67,31,8,62,21,1,76,32,10,67,27,4,68,30,16,66,32,9,70,30,8,62,17,0,-1,-1,-1,.,.,.,-1,-1,-1,71,71,43,70,30,8,55.6,5.5,900,17.4,170,80.2,2.6,2.7,11.1,47.2,12.4,24,114043,78884,55068,52153,71.5,8,16.9,57.8,7.3,46.7,24.8,30.2,24.3,38,7.5,59,9.4,3.9,20.1,3.8,3.8,0,0,14218533,10755,14218533,87,1.6,11.4,0,0,1492528,13148295,13113889,9920,50.6,7.5,8.4,16.3,17.2,6635891,5020,34.9,6.4,11.9,7.8,3.5,0.5,1.8,1.7,0,31.5,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
GATEWAY CHARTER ACADEMY,057831,057 DALLAS,10,C,2,758,94.9,4,0.4,0.1,0,0,0.7,90.8,0.1,4.2,0,21.4,0.9,95.6,0.6,97.1,100,96.7,34,34,72,34,9,70,35,10,57,27,5,75,36,10,81,33,3,65,35,13,72,33,8,70,48,15,86,14,0,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,72,35,9,58.8,5,890,14.9,71.4,40.3,7,4.8,2.8,56.5,6.5,22.4,92485,57728,45325,42101,97.2,10.6,18.8,71.7,5.8,14.2,47.8,92.4,5,2.5,0.2,76,0,15.6,0,8.4,0,0,0,6920702,9191,6920702,84.6,1.1,14.3,0,0,39736,7630251,7055301,9370,43.2,12.9,6,24.9,13,3048908,4049,22.6,4.7,19.3,0,4.8,0,1.1,0,0.4,47.2,500 to 999,Charters,Non-taxing entities,Non-taxing entities
EDUCATION CENTER INTERNATIONAL ACA,057833,057 DALLAS,10,C,3,595,20.8,26.6,45.2,0.2,4.2,0.2,2.9,55.1,8.2,9.9,7.9,0,4.7,95.2,.,.,.,.,.,.,72,43,19,76,47,23,61,29,10,73,45,19,71,41,18,65,35,15,62,36,13,70,35,12,78,48,24,.,.,.,86,68,36,.,.,.,50,41,14,68,41,16,.,.,.,.,71.6,45.8,2.8,4.2,1.4,64,18.2,9.4,82250,77800,65000,41227,23.8,8.3,13,49.8,6.2,14.9,17.5,10.9,10.9,76,2.2,91.1,6.5,2.2,0.2,0,0,0,0,4915002,9052,4915002,92.4,1.7,6,0,0,-65719,4871087,4723851,8700,55.2,13.6,8.6,16.6,6.1,2608338,4804,46.8,7.5,8.3,0.3,0,1.2,0,0,0.9,35.1,500 to 999,Charters,Non-taxing entities,Non-taxing entities
EVOLUTION ACADEMY CHARTER SCHOOL,057834,057 DALLAS,10,C,3,827,47.4,40.1,11,0.2,0.5,0.2,0.5,76.5,8.3,9.1,8.2,70.4,0,79.2,13.8,37.4,48.9,42.9,326,156,44,16,2,29,10,0,.,.,.,39,8,1,70,20,0,76,37,9,38,12,2,48,18,1,72,35,10,.,.,.,80,20,0,.,.,.,23,15,8,42,14,1,6.4,19,891,16.8,55.7,27.6,1.8,5.2,7.9,49.6,5.4,30.1,165900,77133,59390,55870,89.2,14.8,29.9,51.1,9.6,29.1,14,79,7.2,13.7,0,63.5,5.5,0,0,31,0,0,0,6403541,7915,6403541,91.7,0.7,7.6,0,0,46814,6103815,5365020,6632,42.1,9.6,14.9,20.7,12.8,2256246,2789,4.2,7,55.7,0.1,3.9,0,0,0,0,29.2,500 to 999,Charters,Non-taxing entities,Non-taxing entities
GOLDEN RULE CHARTER SCHOOL,057835,057 DALLAS,10,A,6,1532,6.4,92.3,0.8,0.2,0.1,0,0.1,99.7,59.1,4.9,55.5,6.8,3.2,96.8,.,.,.,.,.,.,83,48,21,82,45,19,76,41,9,87,56,30,81,48,15,72,32,15,69,37,8,83,49,21,86,71,29,.,.,.,40,40,40,.,.,.,.,.,.,83,48,21,.,.,.,.,186,95.8,1.1,4.9,2.7,51.5,15.4,24.4,150000,64607,59075,49401,80.4,8.2,16,85.5,2.6,11.3,33.2,19.3,43.7,28.7,8.3,64.7,3.3,0,31.5,0.5,0,0,0,16186464,11233,16186464,81,1.5,17.5,0,0,922085,14832796,13755948,9546,52.6,9.5,9.7,16.8,11.4,7238739,5023,39.4,4.7,19.7,3.3,0,0,0,0,0,32.9,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
ST ANTHONY SCHOOL,057836,057 DALLAS,10,B,2,308,95.8,2.3,0,0,0,0,1.9,72.7,0,6.8,0,0,10.4,96.9,.,.,.,.,.,.,82,44,17,85,52,23,97,75,31,77,36,12,74,27,6,81,29,10,81,43,15,93,80,60,.,.,.,.,.,.,.,.,.,.,.,.,94,69,38,82,44,18,.,.,.,.,35.1,19.9,5.4,0.3,2.6,56.7,15.8,19.2,91897,62811,40788,55215,94.8,8.8,15.5,36,10.0,27.4,39.9,90.9,0,4.6,4.6,95.4,4.6,0,0,0,0,0,0,3321161,9944,3289316,88.9,1.6,9.5,31845,0,32073,3366468,3363432,10070,49.5,15.7,12,9.4,13.5,1663184,4980,55.6,5.9,12.8,0,0,0.3,1.5,0,0,24,Under 500,Charters,Non-taxing entities,Non-taxing entities
LA ACADEMIA DE ESTRELLAS,057839,057 DALLAS,10,C,1,1096,0.1,98,1.5,0.1,0.2,0,0.2,86.2,62.8,9.3,62,0,0.1,97.1,.,.,.,.,.,.,76,35,13,74,34,16,63,30,4,83,41,14,81,40,14,61,18,11,-1,-1,-1,76,36,13,76,38,14,.,.,.,.,.,.,.,.,.,.,.,.,76,36,14,.,.,.,.,138.6,61.4,1.4,8.5,5,44.3,24.8,15.9,97710,74493,56617,57251,66.6,7.9,17.8,57.3,6.4,23.1,13.6,17.9,25,50.6,6.5,81.7,4,0,14.3,0,0,0,0,10833980,9958,10833980,87.1,0.8,12.1,0,0,1748551,9944620,9537829,8766,61.3,7.6,6.1,9.6,15.5,5843309,5371,44,7.7,13.3,4.7,0,0,1.2,0,6.5,22.7,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
RICHLAND COLLEGIATE HIGH SCHOOL,057840,057 DALLAS,10,A,1,592,24.7,29.6,17.7,0.5,25.8,0.3,1.4,22.1,2.4,0.5,2.2,82.9,0,97.6,0.0,100,100,99.4,255,253,98,86,51,73,27,0,.,.,.,-1,-1,-1,-1,-1,-1,99,90,54,94,78,40,97,79,48,100,98,69,-1,-1,-1,100,92,51,-1,-1,-1,-1,-1,-1,98,84,41,100,73.5,1160,23.4,1,0,0,100,0,0,0,0,.,1,.,.,0,615,-2,0,0.0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,5101513,8781,5101513,98.9,1.1,0,0,0,3506528,4380412,4380412,7539,57.5,9.6,12.3,3.2,17.4,2517706,4333,75.2,0.3,0,0,12.1,0,0,3.8,0,8.7,500 to 999,Charters,Non-taxing entities,Non-taxing entities
CITYSCAPE SCHOOLS,057841,057 DALLAS,10,C,1,878,13.7,83.6,1.7,0.3,0.2,0,0.5,91.7,55.1,6.3,54.4,0,0,97.1,.,.,.,.,.,.,64,32,14,67,36,16,51,15,6,72,38,18,50,20,9,20,8,4,61,21,14,64,32,14,100,86,29,-1,-1,-1,-1,-1,-1,.,.,.,83,50,0,67,44,18,.,.,.,.,86.4,35.1,2.7,4.6,12.7,40.6,27.8,11.5,102680,85418,55305,50395,89,10.2,25,100,0.9,20.3,40.7,19.9,79.7,0.4,0,86.9,0,0.7,12.4,0,0,0,0,7724783,10439,7694447,84.5,3.6,11.8,30336,0,732675,7336802,6460285,8730,46.5,10.9,17.5,15,10,3006169,4062,33.2,2.7,19.5,2.4,0,0,0,0,6.7,35.5,500 to 999,Charters,Non-taxing entities,Non-taxing entities
MANARA ACADEMY,057844,057 DALLAS,10,D,3,891,30.9,6.3,28.6,1,31.2,0,2,47,33.3,6.3,32,0,0,95.8,0.0,.,.,.,.,.,69,38,15,70,44,19,60,33,8,72,37,15,69,33,6,64,22,11,60,27,7,57,27,11,71,40,16,67,33,11,81,53,23,.,.,.,59,14,0,69,36,13,.,.,.,.,95.1,61.9,3.2,13.4,6.4,65.2,0,11.9,93010,68918,49013,48408,55.3,9.4,14.4,71.9,4.9,31.1,35.1,37.5,3.2,41.5,17.8,96.2,3.8,0,0,0,0,0,0,8345953,9506,8345953,92.3,1.9,5.8,0,0,1301385,8793665,8511186,9694,54.5,8.9,7.9,17.2,11.5,4636991,5281,51.4,7.6,6.4,1.6,0,0,0,0,0,33,500 to 999,Charters,Non-taxing entities,Non-taxing entities
UME PREPARATORY ACADEMY,057845,057 DALLAS,10,A,2,844,12,40.3,41.2,0.6,3.4,0.2,2.3,35.3,6.4,4.5,6.2,11.3,0,96.1,0.0,.,.,.,33,30,87,57,28,87,60,31,81,45,21,88,52,24,89,69,34,81,54,25,84,51,21,83,48,19,90,67,37,100,75,50,96,73,44,.,.,.,95,65,30,81,45,18,84.8,64.3,1130,23.7,89.7,52.2,3.3,3.3,17.6,58.2,0,17.5,78354,63435,47188,35650,20.5,9.4,16.2,0,10.0,100,33.2,12.1,7.2,77.7,3.1,97.9,0,0,0,0,2.1,0,0,6815094,8627,6815094,93.4,3.5,3.1,0,0,1598785,6021939,5541040,7014,52.2,9.1,9.7,17.5,11.5,2891432,3660,56,4.6,2.6,0.6,0.9,0,2.9,0,0,32.4,500 to 999,Charters,Non-taxing entities,Non-taxing entities
LEGACY PREPARATORY,057846,057 DALLAS,10,B,2,1390,20.4,68,8,0.4,1.3,0.1,1.9,76.9,35.5,8.7,34.2,29.1,5,95.6,0.6,.,.,.,38,14,65,32,11,63,31,11,49,24,6,72,35,14,64,30,8,68,32,11,63,26,10,64,30,10,80,49,25,62,46,8,77,73,38,.,.,.,70,42,16,63,29,9,63.2,20.8,893,22.5,146.9,85.1,3.4,2.7,15.1,57.9,12.7,8.1,97408,84895,60580,45934,77,9.5,16.3,85.9,2.7,15.3,46.9,22.7,48.8,23.7,4.7,93.6,1.2,0,2.2,3,0,0,0,14051363,10087,14051363,89.4,3,7.6,0,0,2000,12863401,12576412,9028,54,14.6,3.5,14.4,13.5,6786109,4872,53.8,4.1,3.6,2.3,0.6,0.4,0.2,0.3,0,34.7,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
VILLAGE TECH SCHOOLS,057847,057 DALLAS,10,B,1,1114,36.9,32.2,23.2,0.4,1.6,0,5.7,40.6,4.2,5.8,4,20.9,0,95.9,0.0,.,.,.,73,73,74,40,15,74,45,16,72,32,11,72,31,13,78,47,15,78,48,29,67,30,10,75,43,16,83,50,24,63,25,13,100,81,24,.,.,.,77,44,16,67,35,13,90.4,28.8,999,20.6,101.2,62,2.5,2.5,16.9,61.3,16.9,0,92744,74344,47758,45548,49.8,11,18,62.7,5.1,12.6,29.7,46,10,39.2,4.8,88.2,3.2,1,0,7.5,0,0,0,8020594,8718,8020594,90.3,7,2.7,0,0,178287,8431652,8213384,8928,38.6,8,6.8,38.9,7.8,3169916,3446,42.4,3.6,2.1,0.1,2.4,0,0.6,0,0,48.9,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
INTERNATIONAL LEADERSHIP OF TEXAS,057848,057 DALLAS,10,B,32,18261,29.1,49.8,13.1,0.2,4.5,0.1,3.2,63.2,26.4,5.4,69.9,10,5.5,96,0.1,96.7,.,.,208,194,71,40,18,73,43,19,60,29,8,72,38,18,75,45,19,73,42,23,66,33,14,70,37,14,84,59,32,67,40,18,92,70,43,94,76,35,78,48,25,66,33,13,100,37.7,1031,19.5,1871,1183.6,2,4.3,8.4,63.3,10.8,11.3,76932,74256,60638,45266,69.8,9.8,15.4,86.7,2.9,25.1,32.9,24.9,34.7,28.1,12.3,56.5,1.3,0,39.3,3,0,0,0,142926002,8860,141517938,90.8,2.5,6.7,1408064,0,-5778552,147749416,118985908,7376,56.2,12.5,7.5,6.8,17,66885779,4146,51.5,4.9,7.8,7.3,1.8,0.1,1.3,0,0,25.4,"10,000 to 24,999",Charters,Non-taxing entities,Non-taxing entities
TRINITY ENVIRONMENTAL ACADEMY,057849,057 DALLAS,10,D,2,298,80.9,16.4,0,0,0,0,2.7,97,7.4,9.1,7,0,2,94.3,.,.,.,.,.,.,57,25,8,62,32,15,45,25,6,58,25,5,60,10,7,43,7,3,53,23,8,67,31,7,.,.,.,.,.,.,.,.,.,.,.,.,44,22,22,56,24,8,.,.,.,.,29,17.6,1.1,15.6,7.3,60.6,5,10.3,85000,72495,45174,50505,82.8,10.3,17,54.4,7.3,17.2,67.9,71.4,16.4,12.2,0,100,0,0,0,0,0,0,0,3026000,9516,3026000,85.8,3.5,10.7,0,0,507787,2863066,2858749,8990,50.2,11.6,13,13.5,11.8,1434186,4510,49.2,7.7,9.7,0.3,0,0.3,0,0,0,32.7,Under 500,Charters,Non-taxing entities,Non-taxing entities
