DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
WELLS ISD,037909,037 CHEROKEE,07,Not Rated: Declared State of Disaster,2,275,8,10.9,75.6,0,0,0,5.5,62.9,4.4,13.5,4.4,39.3,4.4,95.2,0.0,100,100,90,27,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.1,46.2,1030,-1,53.1,29.2,2.8,3.8,3.7,55,14.9,19.8,66049,73050,57738,50833,4.7,5.2,9.4,23.8,12.0,17,17.5,5.1,0,91.5,0,3.4,0,0,78.5,3.9,3.4,0,12.8,1.4,290703,1.42,4095063,13742,3815790,57.5,31,11.4,279273,774750,0,4085520,3707600,12442,54.5,8.8,6.1,10.3,20.2,2022208,6786,39.3,8.3,14.7,0.1,5.6,0.1,2.9,0.7,1.9,26.2,Under 500,Rural,"$288,727 to < $317,442",$1.3141 to under $1.4301
CHILDRESS ISD,038901,038 CHILDRESS,16,Not Rated: Declared State of Disaster,3,1089,4.1,40.4,50.9,0.5,1.5,0,2.7,54.4,3.5,13,3.5,24.9,5.9,95.8,0.9,92.6,93.1,94.7,78,68,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.2,30.6,-1,21.2,176.7,89.3,1.6,2.5,2.5,50.5,17.5,25.4,82805,85107,49546,47892,25.9,6.2,12.2,29.1,13.7,8.7,13.4,1.1,7.8,89.9,1.1,0,0,0,80.9,10.9,2.2,0,6,0,380455,1.066,11923406,10889,11719911,46.2,43,10.8,203495,4642731,0,11597774,11145864,10179,53.8,9.2,5.6,13.9,17.4,6000600,5480,40.2,5.7,11.9,0.1,4.7,0.3,4.7,0.9,0.5,31,"1,000 to 1,599",Non-metropolitan Stable,"$360,988 to < $382,055",Under $1.1701
HENRIETTA ISD,039902,039 CLAY,09,Not Rated: Declared State of Disaster,3,939,0.2,9.2,86,1.1,0.6,0,2.9,41.6,1,14.4,1,36.6,6.5,96.2,2.1,95.2,94.6,94.3,61,52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68.9,47.6,1044,21.7,152.8,77.4,1.3,3.3,4.1,50.6,20.1,20.7,102737,75635,61007,50343,4.5,6.1,12.1,27.2,14.4,14.7,18.2,0,1.3,96.2,0,1.3,0,1.2,78.6,6.6,3.9,0,9,1.9,349299,1.31,13084518,14039,11852534,51.1,33.9,14.9,1231984,3450916,0,12423147,10924111,11721,55,7.8,6,9.7,21.5,6008749,6447,40.5,18.1,6,0,5.8,0.2,4.9,0.9,1.6,21.9,500 to 999,Other Central City Suburban,"$337,807 to < $360,988",$1.1701 to under $1.3141
PETROLIA CISD,039903,039 CLAY,09,Not Rated: Declared State of Disaster,2,449,0.2,11.6,84.2,1.1,0,0,2.9,53.2,0.9,13.6,0.9,42.1,4,94.3,1.4,93.9,94.6,100,30,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.3,18.8,952,-1,74.7,45.9,2.7,2.8,0.1,61.4,12.4,20.7,88638,78924,61094,50679,9.8,6,9.8,34.1,13.9,17,38.1,4.2,8.5,87.4,0,0,0,0,75.4,2.8,8,0,9.9,4,286410,1.383,6354241,14121,5858195,57,30.2,12.8,496046,1646885,0,6103183,5586586,12415,54.3,10.4,3.8,13.8,17.7,3033964,6742,38.1,2.8,13.1,0.1,6.4,0.2,4.8,0.9,1.1,32.5,Under 500,Rural,"$266,163 to < $288,727",$1.3141 to under $1.4301
BELLEVUE ISD,039904,039 CLAY,09,Not Rated: Declared State of Disaster,1,141,1.4,9.2,87.9,0,0,0,1.4,44,1.4,14.2,1.4,35.5,2.1,97.3,0.0,100,100,100,11,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,15.4,1006,.,31.4,16.9,0.2,3.1,1.3,53.6,18,23.8,85000,61012,77539,52091,3.2,4.5,8.4,40.5,12.2,5.2,23.2,0,0,100,0,0,0,0,82,6.1,2.6,0,8.6,0.8,1113456,1.17,1723544,13361,1669327,11.5,81.4,7.1,54217,226031,0,1913502,1847165,14319,58.4,10.5,5.8,10.4,15,1078754,8362,45.1,5.4,12.1,0,4.3,0.2,2.8,1.1,0.2,28.9,Under 500,Rural,"$847,341 and over",Under $1.1701
MIDWAY ISD,039905,039 CLAY,09,Not Rated: Declared State of Disaster,1,126,0,7.1,92.9,0,0,0,0,70.6,1.6,25.4,1.6,50.8,5.6,95.9,0.0,100,100,100,10,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,-1,-1,.,31.5,16.6,3.2,3.2,3.9,52.7,17.5,19.5,45000,80471,25347,54370,3.2,4,7.6,18.1,17.1,18.1,31.9,0,0,94,0,0,0,6,74.6,12.2,4.2,0,9,0,578555,1.25,2710754,20693,2067165,43,49.4,7.6,643589,3311196,0,4997438,1918612,14646,58.6,11.1,5.3,9.6,15.4,1124296,8582,39.2,7.7,8.5,0,8,0.2,3.2,0.8,0,32.4,Under 500,Rural,"$559,445 to < $636,179",$1.1701 to under $1.3141
MORTON ISD,040901,040 COCHRAN,17,Not Rated: Declared State of Disaster,2,399,0.5,90.2,8,0,0,0,1.3,75.7,19.5,12.5,19.3,30.8,6.8,94.7,1.7,85.2,96.7,100,24,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37.5,0,.,17.8,83,40.8,1.2,4.6,5.8,49.2,18.4,20.8,107480,68376,63202,54279,47.9,4.8,9.8,29,13.3,17.5,32.2,4.3,17.4,71.1,2.4,0,0,4.8,77.2,4.1,7.2,0,10.8,0.7,135383,1.04,5777146,14663,5768969,59.6,26.8,13.6,8177,863219,0,5756582,5681079,14419,53.7,9.5,8.4,12.7,15.7,3052638,7748,38.6,2.5,20.3,0.5,4.9,0.1,3.6,0.8,0.4,28.3,Under 500,Rural,"$131,514 to < $178,741",Under $1.1701
WHITEFACE CISD,040902,040 COCHRAN,17,Not Rated: Declared State of Disaster,1,317,1.3,56.8,39.7,0.6,0,0,1.6,59.6,8.2,12,7.9,38.2,2.2,97,0.0,100,100,96.7,17,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.8,20,-1,17.7,59.5,32.5,1.7,3.4,4.1,54.7,11.8,24.4,101200,83440,63027,54768,18.5,5.3,9.7,18.5,14.9,9.3,23.4,0,3.1,92.3,0,0,0,4.6,78.9,5.1,2.6,0,12.3,1,1134604,1.391,7261381,23274,5840315,18.2,75.2,6.5,1421066,3126484,0,6343986,5020167,16090,49.8,8.6,5.7,12.4,23.6,2499168,8010,35.8,7.8,9.2,0.2,4.9,0.1,2.9,1.7,2.6,34.9,Under 500,Rural,"$847,341 and over",$1.3141 to under $1.4301
BRONTE ISD,041901,041 COKE,15,Not Rated: Declared State of Disaster,1,242,0,28.1,71.1,0,0,0,0.8,45.9,1.7,9.9,0.8,38.4,7.4,95.5,0.0,100,100,100,26,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73.1,21.1,-1,18.5,45.8,27.6,2.2,4.1,1.5,60.3,10.3,21.7,95000,75709,60803,50980,19.5,5.3,8.8,14.5,18.2,12,11.7,0,20.2,76.7,0,0,0,3.2,62.1,10.2,5.8,0.1,15.9,5.9,424620,1.08,3485012,14342,3476487,47.5,47.8,4.7,8525,1323615,0,3211815,3076949,12662,52.3,14,4.9,11.8,17.1,1608671,6620,41.2,6.8,5.1,0.2,6.7,0.2,6.1,0,0.6,33.2,Under 500,Rural,"$407,429 to < $450,515",Under $1.1701
ROBERT LEE ISD,041902,041 COKE,15,Not Rated: Declared State of Disaster,6,272,1.1,39.7,57,0.4,0,0,1.8,59.6,2.2,13.2,1.8,36.8,2.6,95.8,1.3,95.2,100,100,20,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,35,-1,19.4,50.4,27.5,2,3.2,2.9,54.5,6,31.5,137804,68130,57033,49702,13.9,5.4,9.9,27.3,15.7,34.2,17.2,0,3.6,96.4,0,0,0,0,81.7,0,6.1,0,12.2,0,495277,1.46,5831599,20462,4737504,35.1,58.9,6.1,1094095,747313,0,5349009,4016479,14093,49.7,15.9,5.8,14.4,14.3,1996342,7005,47.4,1.7,5,0,3.9,0.1,4.6,0.9,0.4,36,Under 500,Rural,"$483,611 to < $530,196",$1.4301 and over
COLEMAN ISD,042901,042 COLEMAN,15,Not Rated: Declared State of Disaster,3,819,2.1,26.4,66.7,0.2,1.1,0,3.5,61.1,2.2,11.8,2.2,30.8,2.8,95.5,2.3,86.4,93.9,87.9,51,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96.1,24.5,1039,19.7,166,75.1,1.2,2.3,5.7,45.2,13.3,32.2,87500,70718,63726,48140,16.2,4.9,10.9,27.7,12.9,13.3,21.9,1.3,5.3,93.3,0,0,0,0,86.3,3.2,1,0.3,5.9,3.3,215863,1.17,11885343,13693,11843918,55.6,21.9,22.5,41425,3764229,0,11251264,10937068,12600,48.5,14.4,5.1,12.1,19.8,5307824,6115,30.2,8.5,20.8,0.1,3.9,0.7,4.2,0.8,2.9,28,500 to 999,Rural,"$178,741 to < $225,013",Under $1.1701
SANTA ANNA ISD,042903,042 COLEMAN,15,Not Rated: Declared State of Disaster,2,263,3.8,28.9,62.7,0.8,0,0,3.8,99.2,0,9.5,0,33.5,9.1,97,0.0,100,100,100,14,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,92.9,46.2,1099,22.5,51.9,26.9,1.9,1.9,1.9,51.8,0,42.4,96533,66681,58264,51863,22,5.1,9.8,40.9,11.1,22.3,34.3,0,20.3,79.7,0,0,0,0,92.4,3,0,0,4.6,0,360987,1.099,3849996,14583,3753124,49.5,36,14.5,96872,2661509,0,3488386,3375185,12785,52.5,10.8,6.4,13.5,16.8,1771918,6712,37.9,3.5,17.5,0,3.5,0.1,2.7,0.3,1.5,32.9,Under 500,Rural,"$337,807 to < $360,988",Under $1.1701
PANTHER CREEK CISD,042905,042 COLEMAN,15,Not Rated: Declared State of Disaster,1,155,1.3,19.4,75.5,0,1.3,0,2.6,73.5,0.6,14.8,0.6,44.5,0,94.9,2.0,93.8,89.5,100,15,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,86.7,15.4,-1,18.7,31.2,17.8,0.2,0.2,1.4,57.1,12.3,28.7,116725,116725,59861,56095,9.4,5,8.7,16.2,15.7,14.3,21.6,0,4.5,95.5,0,0,0,0,70.3,6.8,5.4,0,15.6,1.9,766490,1.238,2907372,19644,2768431,25.6,64,10.5,138941,974631,0,2318609,2168618,14653,54.1,13,1.4,13.5,18.1,1172064,7919,33.8,2.9,15.6,0,4.6,0.2,3.5,0.6,0.5,38.4,Under 500,Rural,"$697,496 to < $814,022",$1.1701 to under $1.3141
IMAGINE INTERNATIONAL ACADEMY OF N,043801,043 COLLIN,10,Not Rated: Declared State of Disaster,1,1398,14.2,14.2,27,0.6,39.1,0.1,4.7,8.5,11.4,5,10.3,0,0,96.6,0.0,100,100,.,46,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,92.3,1292,26.8,0,0,0,0,0,0,0,0,.,.,.,.,0,0,-2,0,0.0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12622827,8978,12622827,89.2,8.8,2,0,0,2350252,12224068,10949912,7788,57.7,9.5,3.9,14,14.9,6320832,4496,68.7,3.7,0.8,0.3,0,0,1.2,0.1,0,25.2,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
LONE STAR LANGUAGE ACADEMY,043802,043 COLLIN,10,Not Rated: Declared State of Disaster,1,190,14.7,11.1,32.1,0,40.5,0,1.6,3.2,14.2,7.4,12.6,0,5.8,95.7,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,23,15,0,4.4,4.4,65.1,8.7,17.4,.,91000,52000,54307,47.9,8.3,12.7,73.2,3.7,6.7,33.3,6.7,13.4,73.2,0,6.7,0,0,93.9,6.1,0,0,0,0,0,0,3013486,17623,3013486,45,48.8,6.2,0,0,0,2530059,2506593,14658,73.4,9.9,10.3,5.6,0.9,1839613,10758,79.7,3.9,0,0,0,0,0,0,0,16.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
ALLEN ISD,043901,043 COLLIN,10,Not Rated: Declared State of Disaster,24,21813,12.9,14.3,44.5,0.5,22.3,0.3,5.1,18.9,8.3,11.8,8.3,30.7,14,96.7,0.2,97.4,98.4,99.5,1629,1460,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,76.4,76.4,1211,25.5,2526.1,1358,0.6,2.6,14.6,53.8,9.7,18.7,127847,89449,72249,60692,20.7,8.6,16.1,26.3,12.1,26.1,12.6,4.5,6.7,83,1,2.6,0.6,1.5,80.5,9.4,2.3,1.6,2.8,3.4,575985,1.55,265617841,12364,204909804,11.8,83.7,4.5,60708037,80221514,0,331443213,200574431,9336,56.8,6.1,5.7,11.6,19.7,113948862,5304,47.3,13.6,3.5,0.5,3,2.6,1.8,4,0,23.6,"10,000 to 24,999",Other Central City Suburban,"$559,445 to < $636,179",$1.4301 and over
ANNA ISD,043902,043 COLLIN,10,Not Rated: Declared State of Disaster,7,3809,12.9,32.6,47.8,0.4,1.1,0.1,5.2,49.5,12.8,14,12.9,35.5,4.5,95.8,1.1,91.5,94.4,98.8,225,221,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.7,40,1050,20.4,523,257.8,2.1,3.4,10.9,49.3,9.6,24.8,103580,78330,62728,54287,22.4,7.3,14.8,40.3,9.0,23.4,18.8,4.7,7.8,84.1,1.6,0.4,0.4,1.2,74.1,10.3,3.1,0.7,6.8,5.1,290493,1.67,46339051,12969,38778234,48.8,44,7.2,7560817,9459345,0,60367191,35194176,9850,58.2,8.3,4.9,10.6,17.9,20476250,5731,45.2,11.5,3.6,3.8,3.8,0.1,2.8,1.8,0.4,27.1,"3,000 to 4,999",Non-metropolitan Fast Growing,"$288,727 to < $317,442",$1.4301 and over
CELINA ISD,043903,043 COLLIN,10,Not Rated: Declared State of Disaster,6,2821,3.4,24,66.3,1,0.9,0,4.4,21.4,6.5,10.1,6.5,30,5.6,95.9,0.0,99,99.4,95.9,203,197,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,69,55.7,1149,23.2,371.6,184.5,2.2,3.2,6.9,49.6,11.4,26.7,108763,87883,67552,55759,20.7,7.6,15.3,17.9,12.7,21.5,14.3,1.6,4.9,91.3,1.1,0,0,1.1,82.1,2.3,2.4,5.5,4.7,3,422411,1.64,35899102,13208,28368954,31,66.3,2.7,7530148,2968642,0,52028184,25731151,9467,54.9,7,7,11.9,19.2,14119760,5195,50.8,6.4,4,1.6,3.2,0.7,4.6,1,0.5,27.3,"1,600 to 2,999",Non-metropolitan Fast Growing,"$407,429 to < $450,515",$1.4301 and over
FARMERSVILLE ISD,043904,043 COLLIN,10,Not Rated: Declared State of Disaster,4,1744,3.7,38.9,53.4,0.3,0.8,0,2.8,52.1,12.7,12.6,12.8,28.1,5.5,96.4,0.2,93.6,97.5,96.6,122,112,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.1,42.4,1058,21.3,222.3,123.1,2.2,3.5,6.9,55.4,11.6,20.4,122156,76127,68660,56602,17.7,7.8,14.2,25.9,12.2,20.6,18.5,0.3,5.7,90.8,1.6,1.6,0,0,72.4,10.4,6.7,0.1,6.3,4.1,303844,1.32,19861213,11669,18840394,50.5,42.4,7.1,1020819,9846064,0,18071829,16740731,9836,58.8,5.5,5.6,12,18.1,9838614,5781,46.4,11,6.7,0.6,4.2,0.2,3.5,1.6,0,25.9,"1,600 to 2,999",Non-metropolitan Stable,"$288,727 to < $317,442",$1.3141 to under $1.4301
FRISCO ISD,043905,043 COLLIN,10,Not Rated: Declared State of Disaster,71,62571,11.2,13.5,39,0.5,31.3,0.1,4.4,13,7.3,10.2,7.1,21.1,11.8,96.6,0.2,98.8,99.4,99.7,3999,3621,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83.5,74.6,1212,25.6,7399.2,4279.4,1.1,2.8,10.3,57.8,7.7,20.3,117090,86471,69341,59445,29.3,8.5,14.6,35.1,10.0,30.1,13.2,6.5,7.2,80.3,0.8,3.1,1.3,0.9,78.9,11,0.1,1.5,2.8,5.7,558426,1.44,717237434,11948,589039610,11.9,83.9,4.2,128197824,169214689,0,698439366,519940249,8662,61.9,5,6,8.1,18.9,321652623,5358,54.4,15.7,1.8,1.5,2.3,1.3,2.4,1.8,0.4,18.4,"50,000 and over",Other Central City,"$530,196 to < $559,445",$1.4301 and over
MCKINNEY ISD,043907,043 COLLIN,10,Not Rated: Declared State of Disaster,32,24457,14.8,29,47.2,0.6,4.8,0.2,3.4,32.8,11.9,12.4,12.4,22.2,9.4,95.6,0.2,98.1,98.8,98.8,1849,1758,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,71.1,68.5,1157,23.8,2761.2,1621.7,1.8,3.1,12.6,58.7,10.4,13.4,111356,94595,69350,60642,24.4,8.9,15.1,24.3,12.4,30.7,14.5,6.2,11.6,77.8,0.4,2,0.2,1.8,79,11.1,0.2,4.9,2.9,1.9,567118,1.59,317847354,12951,251728204,13.5,78.7,7.9,66119150,104977405,0,347008808,244089419,9945,59.6,5.2,6.2,8.7,20.3,145566382,5931,49.2,16.3,3.9,4,2.2,0.8,2.6,0,0.2,20.9,"10,000 to 24,999",Other Central City Suburban,"$559,445 to < $636,179",$1.4301 and over
MELISSA ISD,043908,043 COLLIN,10,Not Rated: Declared State of Disaster,5,3567,12.2,18.3,60.9,0.8,2.5,0.2,5.1,16.1,5.4,11.4,5.2,33.3,6.4,96.5,0.0,100,100,100,220,191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.5,59.5,1136,22.9,399.3,215.9,1.5,3,12.2,54.1,8,21.3,133217,78417,62400,53574,16.2,8.9,16.5,32.1,10.6,24.3,21.4,3.2,4.2,86.8,2.3,0,0.5,3,74.5,9.7,2.8,1.1,5.4,6.6,309790,1.67,43973736,13969,37254908,37.3,59.3,3.4,6718828,7150264,0,46371538,29275674,9300,60.2,6.3,3.9,12.1,17.4,17633593,5602,50.2,11,2.6,0.3,3.6,0.2,4.3,0.8,0,27,"3,000 to 4,999",Non-metropolitan Fast Growing,"$288,727 to < $317,442",$1.4301 and over
PLANO ISD,043910,043 COLLIN,10,Not Rated: Declared State of Disaster,73,52405,12.9,26.4,32.3,0.3,24,0.1,4.1,32.9,18.3,12,17.8,24.1,17.9,96.2,0.5,95.9,97.2,98,3972,3393,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,78.6,77.9,1246,26.2,6886.3,3855.1,1.1,3.2,10.8,56,9.4,19.6,109868,87147,68558,59290,35.1,7.6,13.6,29.2,11.7,35.7,13.5,7.7,13.7,71.6,0.3,4.7,0.1,1.8,63.4,19.7,3.2,5.9,2,5.8,933956,1.439,691205918,13089,543043724,10.5,82.2,7.3,148162194,242718107,0,793116380,549484083,10405,61.2,4,5.1,10.6,19.1,336045410,6363,48.4,17.6,4.4,0.8,1.6,1.3,1.2,2.1,0.4,22.2,"50,000 and over",Major Suburban,"$847,341 and over",$1.4301 and over
